Latitude,Longitude,TreeID,SiteID,Abbreviation
35.7915834,-106.7653341,TOV058,87,TOV
35.79219922,-106.764529,TOV052,87,TOV
35.79266287,-106.414039,CPU09,102,CPU
35.79274165,-106.4142396,CPU10,102,CPU
35.7931238,-106.2761592,BAN15,96,BAN
35.79402913,-106.7657644,TOV027,87,TOV
35.79410334,-106.7656222,TOV026,87,TOV
35.79415165,-106.765402,TOV023,87,TOV
35.79434374,-106.7658267,TOV030,87,TOV
35.79443727,-106.76314,TOV005,87,TOV
35.7947086,-106.7630796,TOV002,87,TOV
35.79510601,-106.7624134,TOV022,87,TOV
35.7953707,-106.765263,TOV019,87,TOV
35.79565616,-106.7642403,TOV011,87,TOV
35.7957268,-106.7643414,TOV015,87,TOV
35.79617801,-106.2772039,BAN05,96,BAN
35.79618443,-106.285061,BAN16,96,BAN
35.79646953,-106.6313399,MCN331,133,gp101
35.79646953,-106.6313399,MCN332,133,gp101
35.79646953,-106.6313399,MCN334,133,gp101
35.79646953,-106.6313399,MCN335,133,gp101
35.79653622,-106.277431,BAN06,96,BAN
35.79680815,-106.6269759,MCN956,136,gp103
35.79680815,-106.6269759,MCN957,136,gp103
35.7968878,-106.2867322,BAN17,96,BAN
35.79696083,-106.6290151,MCN1616,135,gp102
35.79696083,-106.6290151,MCN1617,135,gp102
35.79696083,-106.6290151,MCN1618,135,gp102
35.79700819,-106.6201746,MCN1609,138,gp106
35.79700819,-106.6201746,MCN1610,138,gp106
35.79700819,-106.6201746,MCN1611,138,gp106
35.79700819,-106.6201746,MCN961,138,gp106
35.79700819,-106.6201746,MCN998,138,gp106
35.79714644,-106.6179421,MCN337,139,gp107
35.79714644,-106.6179421,MCN338,139,gp107
35.79714644,-106.6179421,MCN339,139,gp107
35.7971487,-106.622457,MCN340,137,gp105
35.7971487,-106.622457,MCN341,137,gp105
35.79793541,-106.616011,MCN09,108,MCN
35.79807166,-106.5426841,LOG13,107,LOG
35.79810964,-106.5421816,LOG05,107,LOG
35.79813533,-106.541408,LOG10,107,LOG
35.79833849,-106.6158551,MCN10,108,MCN
35.79836662,-106.5411996,LOG11,107,LOG
35.79838914,-106.2812232,BAN69,96,BAN
35.79843434,-106.733559,HME-8,21,HME
35.79847717,-106.7325515,HME-10,21,HME
35.79853867,-106.7307672,HME-12,21,HME
35.79858395,-106.5414651,LOG07,107,LOG
35.79859003,-106.54222,LOG02,107,LOG
35.79860064,-106.5407783,LOG12,107,LOG
35.79860758,-106.5402366,LOG22,107,LOG
35.79861192,-106.539898,LOG26,107,LOG
35.79865914,-106.6334097,MCN248,140,gp109
35.79865914,-106.6334097,MCN249,140,gp109
35.79875846,-106.6267501,MCN1620,142,gp112
35.79875846,-106.6267501,MCN1621,142,gp112
35.79875846,-106.6267501,MCN1622,142,gp112
35.79875846,-106.6267501,MCN1623,142,gp112
35.79875846,-106.6267501,MCN1624,142,gp112
35.79875846,-106.6267501,MCN1625,142,gp112
35.79875846,-106.6267501,MCN1626,142,gp112
35.79875846,-106.6267501,MCN1627,142,gp112
35.79875846,-106.6267501,MCN1628,142,gp112
35.79879617,-106.7341002,HME-7,21,HME
35.79881758,-106.629042,MCN233,141,gp111
35.79881758,-106.629042,MCN234,141,gp111
35.79881758,-106.629042,MCN235,141,gp111
35.79881758,-106.629042,MCN236,141,gp111
35.79881758,-106.629042,MCN237,141,gp111
35.79884019,-106.54177,LOG03,107,LOG
35.79885663,-106.5411026,LOG08,107,LOG
35.79887657,-106.6246832,MCN0229,143,gp113
35.79887657,-106.6246832,MCN226,143,gp113
35.79887657,-106.6246832,MCN227,143,gp113
35.79887657,-106.6246832,MCN228,143,gp113
35.79887657,-106.6246832,MCN230,143,gp113
35.79887657,-106.6246832,MCN231,143,gp113
35.79888088,-106.5398258,LOG27,107,LOG
35.79888327,-106.6201795,MCN224,144,gp115
35.79888327,-106.6201795,MCN225,144,gp115
35.79888327,-106.6201795,MCN459,144,gp115
35.79888327,-106.6201795,MCN461,144,gp115
35.79888425,-106.6180991,MCN1612,145,gp116
35.79888425,-106.6180991,MCN1613,145,gp116
35.79888425,-106.6180991,MCN958,145,gp116
35.79888425,-106.6180991,MCN959,145,gp116
35.79888425,-106.6180991,MCN960,145,gp116
35.79888455,-106.5401548,LOG23,107,LOG
35.79894254,-106.6157764,MCN221,146,gp117
35.79894254,-106.6157764,MCN222,146,gp117
35.79894254,-106.6157764,MCN223,146,gp117
35.7989835,-106.7305615,HME-11,21,HME
35.79907133,-106.732463,HME-9,21,HME
35.79926983,-106.7336017,HME-1,21,HME
35.799332,-106.7304197,HME-13,21,HME
35.79936,-106.6160946,MCN08,108,MCN
35.79948113,-106.6170267,MCN16,108,MCN
35.79961367,-106.733919,HME-2,21,HME
35.79983672,-106.6170886,MCN17,108,MCN
35.79990333,-106.7341977,HME-4,21,HME
35.79994083,-106.7341383,HME-5,21,HME
35.79994124,-106.6159423,MCN07,108,MCN
35.79996884,-106.7339918,HME-3,21,HME
35.800293,-106.733543,HME-6,21,HME
35.800496,-106.550752,LGR41,125,LGR2
35.800499,-106.551575,LGR11,124,LGR1
35.800499,-106.551575,LGR2,124,LGR1
35.80054376,-106.6180442,MCN309,151,gp125
35.80054376,-106.6180442,MCN336,151,gp125
35.80054487,-106.6313015,MCN1619,147,gp119
35.80054487,-106.6313015,MCN301,147,gp119
35.80060665,-106.6267435,MCN302,148,gp121
35.80060665,-106.6267435,MCN303,148,gp121
35.80060665,-106.6267435,MCN304,148,gp121
35.80060665,-106.6267435,MCN305,148,gp121
35.8006525,-106.6246862,MCN1629,149,gp122
35.8006525,-106.6246862,MCN1630,149,gp122
35.8006525,-106.6246862,MCN954,149,gp122
35.8006525,-106.6246862,MCN955,149,gp122
35.80066362,-106.6225285,MCN306,150,gp123
35.80066362,-106.6225285,MCN307,150,gp123
35.80066362,-106.6225285,MCN308,150,gp123
35.800664,-106.552332,LGR17,124,LGR1
35.800688,-106.551941,LGR13,124,LGR1
35.800719,-106.550663,LGR40,124,LGR1
35.800746,-106.552331,LGR16,124,LGR1
35.800902,-106.550462,LGR49,125,LGR2
35.800926,-106.550812,LGR45,125,LGR2
35.800987,-106.550839,LGR44,125,LGR2
35.801026,-106.55086,LGR43,125,LGR2
35.801046,-106.550952,LGR55,125,LGR2
35.801124,-106.550595,LGR53,125,LGR2
35.801124,-106.550561,LGR54,125,LGR2
35.801438,-106.550755,LGR52,125,LGR2
35.801483,-106.55091,LGR48,125,LGR2
35.801738,-106.551025,LGR46,125,LGR2
35.80205172,-106.5989997,SDP-1,60,SDP
35.80205172,-106.5989997,SDP-2,60,SDP
35.80236869,-106.6291034,MCN385,153,gp129
35.80236869,-106.6291034,MCN390,153,gp129
35.80236869,-106.6291034,MCN391,153,gp129
35.8023983,-106.6335638,MCN269,152,gp127
35.8023983,-106.6335638,MCN270,152,gp127
35.80240065,-106.6247439,MCN238,155,gp131
35.80240065,-106.6247439,MCN239,155,gp131
35.80240065,-106.6247439,MCN240,155,gp131
35.80240065,-106.6247439,MCN241,155,gp131
35.80240065,-106.6247439,MCN242,155,gp131
35.80243456,-106.6269025,MCN464,154,gp130
35.80243456,-106.6269025,MCN466,154,gp130
35.80243456,-106.6269025,MCN467,154,gp130
35.80246719,-106.6224877,MCN949,156,gp132
35.80246719,-106.6224877,MCN950,156,gp132
35.80246719,-106.6224877,MCN951,156,gp132
35.80246719,-106.6224877,MCN952,156,gp132
35.80246719,-106.6224877,MCN953,156,gp132
35.80246719,-106.6224877,MCN999,156,gp132
35.8025062,-106.6202641,MCN460,157,gp133
35.8025062,-106.6202641,MCN462,157,gp133
35.802547,-106.6158937,MCN215,158,gp135
35.802547,-106.6158937,MCN216,158,gp135
35.802547,-106.6158937,MCN217,158,gp135
35.802547,-106.6158937,MCN218,158,gp135
35.802547,-106.6158937,MCN219,158,gp135
35.802547,-106.6158937,MCN220,158,gp135
35.80357264,-106.6208834,MCN06,108,MCN
35.80366483,-106.5025592,PNE-1,15,PNE
35.8037755,-106.502781,PNE-4,15,PNE
35.8037815,-106.502564,PNE-2,15,PNE
35.80385983,-106.5028477,PNE-5,15,PNE
35.80387434,-106.5027293,PNE-6,15,PNE
35.803906,-106.5025572,PNE-3,15,PNE
35.8039555,-106.5028608,PNE-7,15,PNE
35.803988,-106.5026777,PNE-8,15,PNE
35.80402683,-106.5026295,PNE-9,15,PNE
35.8040495,-106.5022507,PNE-10,15,PNE
35.80416159,-106.6291843,MCN1631,160,gp138
35.80416159,-106.6291843,MCN1632,160,gp138
